city,country_code,lat,lon,safety_index_numbeo,has_beach,has_mountains,has_culture,has_nature,nightlife,budget_level,flight_hours,train_hours,car_hours,hotel_price_chf,sight_1,sight_2,sight_3,sight_4,sight_5
Barcelona,ES,41.39,2.15,48.0,1,0,1,1,1,2,2.0,11.0,11.5,130,Sagrada Família,Park Güell,Camp Nou,La Rambla,Barceloneta Strand
Santorini,GR,36.39,25.46,72.1,1,1,0,1,0,3,3.0,N/A,N/A,200,Oia Sonnenuntergang,Schwarzer Strand,Akrotiri,Fira Altstadt,Roter Strand
Reykjavik,IS,64.13,-21.93,82.5,0,1,1,1,0,3,3.5,N/A,N/A,200,Nordlichter,Hallgrímskirkja,Blaue Lagune,Gullfoss Wasserfall,Þingvellir Nationalpark
Dubrovnik,HR,42.65,18.09,74.3,1,1,1,1,0,2,1.5,N/A,12.0,130,Stadtmauern,Stradun,Fort Lovrijenac,Elaphiti-Inseln,Lokrum Insel
Lissabon,PT,38.72,-9.14,68.5,1,0,1,0,1,1,2.5,N/A,20.0,80,Belém-Turm,Alfama-Viertel,Jerónimos-Kloster,LX Factory,Tram 28
Amsterdam,NL,52.37,4.90,62.8,0,0,1,0,1,2,1.5,8.0,7.5,150,Rijksmuseum,Anne-Frank-Haus,Van Gogh Museum,Grachten,Vondelpark
Wien,AT,48.21,16.37,77.4,0,0,1,0,0,2,1.0,8.0,8.0,130,Stephansdom,Schönbrunn,Kunsthistorisches Museum,Wiener Staatsoper,Prater
Kopenhagen,DK,55.68,12.57,74.5,0,0,1,0,1,3,2.0,N/A,13.5,200,Nyhavn,Tivoli,Kleine Meerjungfrau,Christiansborg,Rundetårn
Prag,CZ,50.07,14.43,71.6,0,0,1,0,0,1,1.5,10.0,8.5,80,Prager Burg,Karlsbrücke,Altstädter Ring,Josefstadt,Wenzelsplatz
Rom,IT,41.90,12.50,52.9,0,0,1,0,0,2,2.0,7.5,9.5,130,Kolosseum,Vatikan,Trevi-Brunnen,Forum Romanum,Pantheon
Paris,FR,48.86,2.35,42.0,0,0,1,0,1,3,1.5,4.0,5.5,200,Eiffelturm,Louvre,Notre-Dame,Montmartre,Champs-Élysées
Berlin,DE,52.52,13.40,55.5,0,0,1,0,0,1,1.5,9.0,9.5,80,Brandenburger Tor,Berliner Mauer,Museumsinsel,Reichstag,Tiergarten
Budapest,HU,47.50,19.04,66.3,0,0,1,0,0,1,2.0,10.5,10.5,80,Parlament,Fischerbastei,Széchenyi-Bad,Ruin-Bars,Burgviertel
Porto,PT,41.16,-8.63,72.1,1,0,1,0,0,1,2.5,N/A,19.0,80,Ribeira-Viertel,Dom Luís I Brücke,Port-Weinkeller,Livraria Lello,Matosinhos Strand
Zermatt,CH,46.02,7.75,88.2,0,1,0,1,0,3,0.0,3.0,3.5,200,Matterhorn,Gornergletscher,Bergbahnen,Schwarzsee,Skigebiete
Mallorca,ES,39.57,2.65,71.8,1,1,0,1,0,2,2.0,N/A,N/A,130,Playa de Muro,Tramuntana Gebirge,Palma Kathedrale,Cala d'Or,Cap de Formentor
Oslo,NO,59.91,10.75,68.9,0,1,1,1,0,3,2.5,N/A,20.0,200,Vigeland-Skulpturenpark,Oslofjord,Munch-Museum,Holmenkollen,Akershus Festung
Athen,GR,37.98,23.73,44.8,1,0,1,0,0,1,3.0,N/A,N/A,80,Akropolis,Parthenon,Nationales Archäologisches Museum,Plaka-Viertel,Kapnikarea
Istanbul,TR,41.01,28.95,47.2,0,0,1,0,1,1,3.5,N/A,N/A,80,Hagia Sophia,Blaue Moschee,Topkapi-Palast,Großer Basar,Bosporus
Krakau,PL,50.06,19.94,68.4,0,1,1,1,0,1,2.0,N/A,9.0,80,Wawel-Schloss,Marktplatz,Kazimierz-Viertel,Wieliczka Salzbergwerk,Planty Park
